,TITLE,AUTHOR,DATE,STAR,RATING,CATEGORY
49,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,"Dec 1, 2019",4.4,16246,Biographies & Memoirs
50,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,"Jan 29, 2013",4.6,16093,Biographies & Memoirs
51,This Is Going to Hurt: Secret Diaries of a Medical Resident,Adam Kay,"Dec 3, 2019",4.6,16033,Biographies & Memoirs
52,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,"Oct 31, 2010",4.7,15859,Biographies & Memoirs
53,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,"May 1, 2018",4.4,15848,Biographies & Memoirs
54,Maude,Donna Foley Mabry,"Oct 16, 2014",4.4,14608,Biographies & Memoirs
55,When Breath Becomes Air,Paul Kalanithi,"Jan 12, 2016",4.7,14236,Biographies & Memoirs
56,Fire and Fury: Inside the Trump White House,Michael Wolff,"Jan 5, 2018",-,13875,Biographies & Memoirs
57,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife, | ,"Oct 23, 2012",4.3,13703,Biographies & Memoirs
58,The Art Of War,Sun Tzu,"Nov 1, 2007",4.4,13093,Biographies & Memoirs
59,12 Years a Slave,Solomon Northup,"Feb 21, 2014",4.6,12552,Biographies & Memoirs
60,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Aug 18, 2015",-,11949,Biographies & Memoirs
61,How to Be an Antiracist,Ibram X. Kendi,"Aug 13, 2019",-,11918,Biographies & Memoirs
62,Sharp Objects,Gillian Flynn,"Jul 31, 2007",4.3,11644,Biographies & Memoirs
63,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,"Sep 23, 2014",4.6,10974,Biographies & Memoirs
64,Between the World and Me,Ta-Nehisi Coates,"Jul 14, 2015",4.7,10935,Biographies & Memoirs
65,Make Your Bed: Small things that can change your life... and maybe the world,William H. McRaven,"Jun 26, 2018",4.7,10909,Biographies & Memoirs
66,The 48 Laws of Power,Robert Greene,"Sep 1, 2000",4.7,10471,Biographies & Memoirs
67,Me: Elton John Official Autobiography,Elton John,"Oct 15, 2019",-,10113,Biographies & Memoirs
68,Alexander Hamilton,Ron Chernow,"Mar 29, 2005",-,10064,Biographies & Memoirs
69,Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump,Michael Cohen,"Sep 8, 2020",4.6,10028,Biographies & Memoirs
70,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Mar 8, 2011",4.7,9676,Biographies & Memoirs
71,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink,"Nov 21, 2017",-,9513,Biographies & Memoirs
72,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,"Sep 1, 2015",4.7,9397,Biographies & Memoirs
73,A Street Cat Named Bob: And How He Saved My Life,James Bowen,"Oct 7, 2014",-,8961,Biographies & Memoirs
74,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"May 1, 2018",-,8765,Biographies & Memoirs
75,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Apr 3, 2018",4.6,8748,Biographies & Memoirs
76,Killing Kennedy: The End of Camelot,Bill O'Reilly,"Oct 2, 2012",4.6,8694,Biographies & Memoirs
77,I Know Why the Caged Bird Sings,Maya Angelou,"Apr 21, 2009",-,8296,Biographies & Memoirs
78,Meditations,Marcus Aurelius,"Jul 9, 2020",4.6,7456,Biographies & Memoirs
79,The Mamba Mentality: How I Play,Kobe Bryant,"Oct 23, 2018",-,8277,Biographies & Memoirs
80,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,"Apr 11, 2017",4.7,33413,Business & Money
81,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),Napoleon Hill,"Aug 18, 2005",4.7,27886,Business & Money
82,How To Win Friends and Influence People,Dale Carnegie,"Nov 3, 2009",4.7,26497,Business & Money
83,The Four Agreements (Illustrated Edition): A Practical Guide to Personal Freedom (Four-color Illustrated Ed.),Don Miguel Ruiz,"Nov 15, 2011",4.7,25667,Business & Money
84,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Oct 14, 2014",4.5,23184,Business & Money
85,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"May 2, 2019",4.7,20321,Business & Money
86,The Art of War (Wisehouse Classics Edition),Sun Tzu,"Mar 15, 2016",4.4,13093,Business & Money
87,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Oct 16, 2018",-,13977,Business & Money
88,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,"Sep 17, 2013",4.7,12389,Business & Money
89,"Thinking, Fast and Slow",Daniel Kahneman,"Apr 2, 2013",4.6,11632,Business & Money
90,The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,"Feb 21, 2006",4.6,11543,Business & Money
91,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Jan 7, 2014",4.6,11163,Business & Money
92,Outliers: The Story of Success,Malcolm Gladwell,"Jun 7, 2011",4.6,10965,Business & Money
93,The 48 Laws of Power,Robert Greene,"Sep 1, 2000",4.7,10471,Business & Money
94,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Jan 29, 2013",4.6,10366,Business & Money
95,The Richest Man in Babylon,George S. Clason,"Jan 1, 2002",4.7,9910,Business & Money
96,The 7 Habits of Highly Effective People: 30th Anniversary Card Deck (The Official 7 Habits Card Deck),Stephen R. Covey,"Jul 2, 2019",4.6,9667,Business & Money
97,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink,"Nov 21, 2017",-,9513,Business & Money
98,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Dec 27, 2011",4.6,9142,Business & Money
99,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich", | ,"Dec 15, 2009",4.5,8938,Business & Money
100,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"May 1, 2018",-,8765,Business & Money
101,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Jan 24, 2017",4.7,8204,Business & Money
102,Who Moved My Cheese,Spencer Johnson,"Sep 8, 1998",4.6,8160,Business & Money
103,Who Moved My Cheese?: An A-Mazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,"Jan 1, 1999",4.6,8160,Business & Money
104,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,"Mar 5, 2019",4.6,8132,Business & Money
105,Steve Jobs,Walter Isaacson,"Oct 24, 2011",4.6,7947,Business & Money
106,Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul,Mrs Hinch,"Apr 4, 2019",4.7,7739,Business & Money
107,Meditations: A New Translation (Modern Library (Hardcover)),Marcus Aurelius,"May 14, 2002",4.6,7456,Business & Money
108,Mrs Hinch: The Activity Journal,Mrs Hinch,"Oct 17, 2019",-,6935,Business & Money
109,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Jan 28, 2020",-,6538,Business & Money
110,Little Women (Great Illustrated Classics),Louisa May Alcott,"Jan 1, 2008",4.5,6504,Business & Money
111,Talking to Strangers, and ,"Jan 1, 2003",4.5,6457,Business & Money
112,Trump: The Art of the Deal,Donald J. Trump,"Oct 6, 2015",4.6,6394,Business & Money
113,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Oct 20, 2015",-,6378,Business & Money
114,As A Man Thinketh,James Allen,"Mar 13, 2019",4.7,6323,Business & Money
115,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"Mar 11, 2013",4.5,6213,Business & Money
116,So You Want to Talk About Race,Ijeoma Oluo,"Sep 24, 2019",-,6050,Business & Money
